"","nburn","const","sigma","mse"
"1",0,1,"c(1, 0, 0, 1)",NA
"2",1,1,"c(1, 0, 0, 1)",NA
"3",3,1,"c(1, 0, 0, 1)",NA
"4",5,1,"c(1, 0, 0, 1)",NA
"5",0,4.53999297624849e-05,"c(1, 0, 0, 1)",NA
"6",1,4.53999297624849e-05,"c(1, 0, 0, 1)",NA
"7",3,4.53999297624849e-05,"c(1, 0, 0, 1)",NA
"8",5,4.53999297624849e-05,"c(1, 0, 0, 1)",NA
"9",0,3.72007597602084e-44,"c(1, 0, 0, 1)",NA
"10",1,3.72007597602084e-44,"c(1, 0, 0, 1)",NA
"11",3,3.72007597602084e-44,"c(1, 0, 0, 1)",NA
"12",5,3.72007597602084e-44,"c(1, 0, 0, 1)",NA
"13",0,2.65039655300431e-261,"c(1, 0, 0, 1)",1.16339021474002
"14",1,2.65039655300431e-261,"c(1, 0, 0, 1)",1.26766108666415
"15",3,2.65039655300431e-261,"c(1, 0, 0, 1)",1.20232230403422
"16",5,2.65039655300431e-261,"c(1, 0, 0, 1)",1.08338625070238
"17",0,0,"c(1, 0, 0, 1)",0.095526624220894
"18",1,0,"c(1, 0, 0, 1)",0.0660295438568872
"19",3,0,"c(1, 0, 0, 1)",0.231395212863593
"20",5,0,"c(1, 0, 0, 1)",0.521128754918724
